alias,canonical_id,display_label,review_status
A1 GENERATOR SERVICES,contractor:ai-generator-services,AI GENERATOR SERVICES,reviewed
ADMINISTRACION COMPENSACIONES POR ACCIDENTES,contractor:administracion-compensaciones-por-accidentes-automoviles,ADMINISTRACION COMPENSACIONES POR ACCIDENTES AUTOMOVILES,reviewed
AQUINO CORDOVA ALFARO,contractor:aquino-cordovaalfaro,AQUINO CORDOVAALFARO,reviewed
AUTORIDAD FINANCIAMIENTO INFRAESTRUC,contractor:autoridad-financiamiento-infraestructura-puerto-rico,AUTORIDAD FINANCIAMIENTO INFRAESTRUCTURA PUERTO RICO,reviewed
AUTORIDADF FINANCIAMIENTO INFRAESTRU,contractor:autoridad-financiamiento-infraestructura-puerto-rico,AUTORIDAD FINANCIAMIENTO INFRAESTRUCTURA PUERTO RICO,reviewed
BERMUDEZLONGODIAZ MASSO,contractor:bermudez-longo-diaz-masso,BERMUDEZ LONGO DIAZ MASSO,reviewed
CANCIO NADAL RIVERA,contractor:cancionadal-rivera,CANCIONADAL RIVERA,reviewed
CONSTRUCCIONES VIVI AGRAGADOS,contractor:construcciones-vivi-agregados,CONSTRUCCIONES VIVI AGREGADOS,reviewed
CONSTRUCCIONES VIVI AGREDADO,contractor:construcciones-vivi-agregados,CONSTRUCCIONES VIVI AGREGADOS,reviewed
CONSTRUCCIONES VIVI AGREGADO,contractor:construcciones-vivi-agregados,CONSTRUCCIONES VIVI AGREGADOS,reviewed
DESING BUILD,contractor:design-build,DESIGN BUILD,reviewed
GIOVANY RIVERA CARRERO,contractor:rivera-carrero-giovany,RIVERA CARRERO GIOVANY,reviewed
INTEGRA,contractor:integra-design-group,INTEGRA DESIGN GROUP,reviewed
ISIDRO M MARTINEZ GILORMINI,contractor:martinez-gilormini-isidro-m,MARTINEZ GILORMINI ISIDRO M,reviewed
J F BUILDING LEASE MAINTENANCE,contractor:jf-building-lease-maintenance,JF BUILDING LEASE MAINTENANCE,reviewed
JOSEPH HARRISON FLORESDBAHARISON CONSULTING,contractor:joseph-harrison-flores,JOSEPH HARRISON FLORES,reviewed
MAGLEZ ENGINEERINGS CONTRACTORS,contractor:maglez-engineering-contractors,MAGLEZ ENGINEERING CONTRACTORS,reviewed
MUNICIPIO SAN LOENZO,contractor:municipio-san-lorenzo,MUNICIPIO SAN LORENZO,reviewed
MUNICIPIO VIEQUES CCD,contractor:municipio-vieques,MUNICIPIO VIEQUES,reviewed
NAIOSCALY CRUZ PONCE,contractor:cruz-ponce-naioscaly,CRUZ PONCE NAIOSCALY,reviewed
RICHARD SANTOS GARCIA MA,contractor:richard-santos-garciama,RICHARD SANTOS GARCIAMA,reviewed
T P CONSULTING,contractor:quantum-health-consulting,QUANTUM HEALTH CONSULTING,reviewed
UNIVERSITY PUERTO RICO PARKING SYSTEM,contractor:universida-puerto-rico-parking-system,UNIVERSIDA PUERTO RICO PARKING SYSTEM,reviewed
