contract_number,entity,contractor,recovery_batch,lookup_mode,source_url,status,notes,last_checked_at
2016-000110,Corporación del Centro Cardiovascular de Puerto Rico y el Caribe,LINDE PUERTO RICO B.V.,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:30:47.392578+00:00
2019-CR0050,Autoridad para Alianzas Público Privadas de Puerto Rico,MUNICIPIO DE CULEBRA,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:30:49.225821+00:00
2019-CR0056,Autoridad para Alianzas Público Privadas de Puerto Rico,MUNICIPIO DE GUAYANILLA,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:30:52.403480+00:00
2019-CR0060,Autoridad para Alianzas Público Privadas de Puerto Rico,MUNICIPIO DE JUANA DÍAZ,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:30:55.676059+00:00
2019-CR0066,Autoridad para Alianzas Público Privadas de Puerto Rico,MUNICIPIO DE MAUNABO,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:30:59.117634+00:00
2019-CR0094,Autoridad para Alianzas Público Privadas de Puerto Rico,MUNICIPIO DE MARICAO,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:02.509988+00:00
2019-CR0098,Autoridad para Alianzas Público Privadas de Puerto Rico,MUNICIPIO DE VEGA ALTA,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:05.704979+00:00
2019-CR0110,Autoridad para Alianzas Público Privadas de Puerto Rico,DEPARTAMENTO DE CORRECCIÓN Y REHABILITACIÓN,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:08.980601+00:00
2019-CR0142,Autoridad para Alianzas Público Privadas de Puerto Rico,DEPARTAMENTO DE TRANSPORTACIÓN Y OBRAS PÚBLICAS,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:12.269992+00:00
2019-CR0173,Autoridad para Alianzas Público Privadas de Puerto Rico,AUTORIDAD DE CARRETERAS Y TRANSPORTACIÓN DE PUERTO RICO,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:15.545041+00:00
2019-CR0178,Autoridad para Alianzas Público Privadas de Puerto Rico,COMPAÑÍA DE COMERCIO Y EXPORTACIÓN DE PUERTO RICO,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:18.719532+00:00
2019-CR0179,Autoridad para Alianzas Público Privadas de Puerto Rico,COMPAÑÍA DE FOMENTO INDUSTRIAL DE PUERTO RICO,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:21.976602+00:00
2019-CR0180,Autoridad para Alianzas Público Privadas de Puerto Rico,DEPARTAMENTO DE ESTADO,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:25.270612+00:00
2019-CR0181,Autoridad para Alianzas Público Privadas de Puerto Rico,COMPAÑÍA DE TURISMO DE PUERTO RICO,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:28.636088+00:00
2020-000006,Área Local de Desarrollo Laboral del Sureste (ALDL Sureste),ÁREA LOCAL DE DESARROLLO LABORAL DEL SURESTE (ALDL SURESTE),2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:31:32.015687+00:00
2020-000035,Autoridad de los Puertos de Puerto Rico,BENITEZ AVIATION INC.,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:31:33.038626+00:00
2020-000039,Administración de Familias y Niños,ERASTO RODRÍGUEZ GARCÍA,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:31:33.970217+00:00
2020-000170,Autoridad para el Financiamiento de la Infraestructura de Puerto Rico,IGLESIAS-VAZQUEZ AND ASSOCIATES PSC,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:31:34.892781+00:00
2021-000045,Autoridad de los Puertos de Puerto Rico,DEL VALLE GROUP SP,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:31:35.815795+00:00
2021-000238,Oficina de Administración de los Tribunales,INTERNET VISION DEVELOPMENT LLC (INVID),2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:37.645234+00:00
2021-000248,Autoridad de Carreteras y Transportación de Puerto Rico,GILL ENGINEERING GROUP INC.,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:31:40.635475+00:00
2021-000287,Municipio de Ciales,PAOLA B. TORRES SANTIAGO,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:31:41.643141+00:00
2021-000339,Autoridad de Carreteras y Transportación de Puerto Rico,PUERTO RICO AHPHALT LLC,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:31:42.543425+00:00
2021-SF0002,Administración de Servicios Generales de Puerto Rico,SESCO TECHNOLOGY SOLUTIONS LLC,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:43.496486+00:00
2021-SF0004,Administración de Servicios Generales de Puerto Rico,CN COMPUTER CENTRE LLC,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:46.394557+00:00
2021-SF0006,Administración de Servicios Generales de Puerto Rico,COMPUTER INN CORP.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:49.842598+00:00
2021-SF0007,Administración de Servicios Generales de Puerto Rico,ISLAND COMPUTER COMPONENTS INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:52.976328+00:00
2022-000006,Municipio de Comerío,3C CONSTRUCTION CORP.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:56.331710+00:00
2022-000017,Administración de Familias y Niños,JAYE INC H/N/C/ TELEMEDIK,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:31:59.571622+00:00
2022-000017,Autoridad de Carreteras y Transportación de Puerto Rico,MARTEL INC.,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:32:02.921547+00:00
2022-000017,Autoridad de Transporte Marítimo de Puerto Rico y las Islas Municipios,INTERNATIONAL SHIP REPAIR & MARINE SERVICES INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:03.833900+00:00
2022-000019,Guardia Nacional de Puerto Rico,CARRASQUILLO ENGINEERING SERVICES GROUP PSC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:07.139059+00:00
2022-000020,Municipio de Dorado,AUREA'S CATERING,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:10.434839+00:00
2022-000021,Autoridad de Carreteras y Transportación de Puerto Rico,DEL VALLE GROUP S.P.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:13.863678+00:00
2022-000021,Municipio de Dorado,SANTANA RAMOS FOOD SERVICE INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:17.186301+00:00
2022-000022,Área Local de Desarrollo Laboral de Noroeste (ALDL Noroeste),JUAN A. CORTES RODRIGUEZ,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:32:20.556450+00:00
2022-000023,Área Local de Desarrollo Laboral de Noroeste (ALDL Noroeste),SMILE AGAIN LEARNING CENTER CORP.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:21.586961+00:00
2022-000026,Área Local de Desarrollo Laboral de Noroeste (ALDL Noroeste),MPA CONSULTANTS GROUP INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:24.772143+00:00
2022-000027,Área Local de Desarrollo Laboral de Noroeste (ALDL Noroeste),INNOVATIVE STRATEGIC CORPORATION,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:28.135715+00:00
2022-000028,Municipio de Fajardo,PUERTO RICO TELEPHONE COMPANY INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:31.430158+00:00
2022-000030,Área Local de Desarrollo Laboral del Sureste (ALDL Sureste),HACIENDA CAYRABON INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:34.683235+00:00
2022-000031,Área Local de Desarrollo Laboral del Sureste (ALDL Sureste),CDE DEVELOPMENT INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:37.964566+00:00
2022-000032,Alianza Municipal para el Desarrollo Económico (AMDE),AGRO TROPICAL INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:41.094576+00:00
2022-000033,Oficina del Procurador de las Personas de Edad Avanzada del Estado Libre Asociado de Puerto Rico,SUGAR FREE LIVING CRL,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:44.380610+00:00
2022-000037,Administración de Seguros de Salud de Puerto Rico,DEPARTAMENTO DE SALUD,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:48.049459+00:00
2022-000037,Área Local de Desarrollo Laboral de Carolina (ALDL Carolina),LIVINDI INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:50.969566+00:00
2022-000039,Oficina para Asuntos de Seguridad Pública,MUNICIPIO DE AGUADILLA,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:54.349884+00:00
2022-000040,Universidad de Puerto Rico Administración Central,M.R. MÉNDEZ CONSTRUCTION CORP.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:32:57.523792+00:00
2022-000042,Municipio de Guánica,PRIMARY ENGINEERING SOLUTIONSPSC,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:33:00.710157+00:00
2022-000046,Municipio de Comerío,CARLOS RENTAL & GENERAL CONTRACTOR INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:02.761602+00:00
2022-000049,Corporación del Proyecto Enlace del Caño Martín Peña,SLSCO LTD,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:05.954264+00:00
2022-000049,Municipio de Naranjito,JM CARIBBEAN BUILDERS CORP.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:08.962134+00:00
2022-000055,Departamento de la Vivienda,MUNICIPIO DE GUAYANILLA,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:12.064468+00:00
2022-000058,Administración de Vivienda Pública,VANGUARD ASSET MANAGEMENT GROUP INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:15.292158+00:00
2022-000059,Administración de Vivienda Pública,FORJANDO UN NUEVO COMIENZO,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:18.617501+00:00
2022-000061,Departamento de Recursos Naturales y Ambientales,CMR INTERIOR CONTRACTORS INC,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:21.795494+00:00
2022-000063,Municipio de Barranquitas,JUAN A. TORRES BERRIOS,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:33:24.773777+00:00
2022-000066,Departamento de la Familia,PEDRO NIEVES GARNICA,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:25.796526+00:00
2022-000069,Municipio de Culebra,HDT GROUP CORP.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:29.075856+00:00
2022-000077,Municipio de Dorado,PLATINIUM WASTE DISPOSAL LLC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:32.237049+00:00
2022-000078,Departamento de la Familia,CINDY RAMIREZ PAGAN,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:35.387165+00:00
2022-000084,Recinto Universitario de Mayagüez de la Universidad de Puerto Rico,THE BOARD OF THE TRUSTEES OF THE COLORADO SCHOOL OF MINES,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:38.601591+00:00
2022-000085,Municipio de Maricao,ENCO GROUP LLC,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:42.067457+00:00
2022-000086,Municipio de Maricao,ENCO GROUPLLC,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:33:45.371144+00:00
2022-000087,Municipio de Maricao,ENCO GROUPLLC,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:33:46.372014+00:00
2022-000088,Administración para el Desarrollo de Empresas Agropecuarias,HATILLO DAIRY INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:47.307387+00:00
2022-000088,Municipio de Maricao,ENCO GROUPLLC,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:33:50.669486+00:00
2022-000090,Autoridad de Acueductos y Alcantarillados de Puerto Rico,WET INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:51.580569+00:00
2022-000090,Municipio de Manatí,JESSICA VELEZ RODRIGUEZ,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:54.706379+00:00
2022-000092,Administración para el Desarrollo de Empresas Agropecuarias,DORIS ELISA CLAUDIO ARROYO,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:33:57.950108+00:00
2022-000092,Administración para el Desarrollo de Empresas Agropecuarias,JOSE R. APONTE FIGUEROA,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); matching recovered row already exists,2026-04-10T01:34:01.247291+00:00
2022-000093,Municipio de Ceiba,MAD CONSULTING LLC,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:34:04.503668+00:00
2022-000096,Administración de Vivienda Pública,FLORENCIA TATIANA BOTTA,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:34:07.767834+00:00
2022-000096,Área Local de Desarrollo Laboral de Manatí/Dorado (ALDL Manatí-Dorado),CINE TEATRO FÉNIX INC.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:34:11.046319+00:00
2022-000101,Municipio de Lares,MILAGROS ECHEVARRIA LOPEZ,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:34:14.017803+00:00
2022-000101,Municipio de Río Grande,ALTERNATIVE MARKETING AND CONSULTING SERVICE INC,2022-2023,auto_discover,,unrecoverable,search returned 0 exact candidate(s),2026-04-10T01:34:17.398552+00:00
2022-000102,Administración de Vivienda Pública,THE MICHAELS DEVELOPMENT COMPANY I LP,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-13T03:54:41.926919+00:00
2022-000103,Universidad de Puerto Rico en Carolina,INTEGRA DESIGN GROUP P.S.C.,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:34:18.328093+00:00
2022-000109,Municipio de Ceiba,I.M.R. CONSTRACTORS & SERVICES INC,2022-2023,auto_discover,,recovered,search returned 1 exact candidate(s); recovered original row,2026-04-10T01:34:21.483177+00:00
